pais;Alemania;Argentina;Aruba;Australia;Austria;Bélgica;Bielorrusia;Bolivia;Brasil;Bulgaria;Canadá;Chile;China (R.P.);Colombia;Corea del Sur;Costa Rica;Croacia;Cuba;Dinamarca;Ecuador;EE.UU.;Egipto;El Salvador;Eslovaquia;Eslovenia;España;Filipinas;Finlandia;Francia;Grecia;Guatemala;Honduras;Hong Kong;Hungría;India;Indonesia;Irlanda;Israel;Italia;Japón;Lituania;Malasia;Marruecos;México;Nicaragua;Noruega;Nueva Zelandia;Paises Bajos (Holanda);Panamá;Paraguay;Polonia;Portugal;Pto. Rico;Reino Unido;Rep. Checa;Rep. Dominicana;Rumania;Rusia;Singapur;Sudáfrica;Suecia;Suiza;Tailandia;Taiwán;Trinidad y Tobago;Turquía;Ucrania;Uruguay;Venezuela;Vietnam;Resto del Mundo;TOTAL
2004;35821;50272;651;16534;4652;8369;579;66933;34416;193;26665;306275;4990;39733;5779;5024;298;1165;2927;110998;278025;77;1722;189;820;49779;652;1662;44518;1386;1962;884;480;1074;989;536;5004;8512;29390;29834;148;285;415;25138;880;3698;2911;16465;4250;1707;2450;1712;1507;49885;1976;1323;220;2070;366;1811;6139;14688;270;1231;217;424;390;3830;19311;63;4410;1349959
2005;43661;61686;463;20325;5933;8984;816;72910;44543;326;35196;344296;5295;49143;6705;5820;324;1634;4000;101489;330358;81;1920;242;1109;68595;717;2096;52876;1728;2307;1082;504;1437;1359;567;6582;9367;33640;35522;208;345;73;29558;945;3889;3504;17529;7629;1974;3678;2400;1182;59218;2546;2045;354;2518;382;2150;7072;16701;306;1482;248;423;528;5111;24231;38;6661;1570566
2006;43760;69256;443;22179;6144;8990;758;85365;45265;437;41443;420801;7884;54505;7699;5192;483;2115;4794;112100;330845;94;2226;566;1247;75976;1076;2214;54311;1504;2194;1142;591;1297;1470;362;7285;10656;33872;36827;385;512;117;29820;912;4715;4149;17849;8358;2046;4661;2205;842;60277;3005;2318;508;3039;482;2265;7952;16148;273;1753;256;596;823;5290;24004;76;9742;1720746
2007;50445;82722;483;25617;6693;12005;464;87399;53558;550;43992;470457;7465;62811;8878;6896;617;2480;5031;119471;381828;98;2737;601;1031;72180;1783;2233;59781;1754;2468;1336;513;1812;2069;775;8776;11740;34622;39864;484;526;261;31639;1090;5144;4841;24262;6510;2396;5256;2559;1282;67067;3386;2424;678;4100;565;2766;9185;18156;376;1793;335;722;1039;6121;27633;155;7614;1916400
2008;52173;97478;260;28542;6025;12740;332;86619;64573;740;51975;452705;8043;76559;9840;7630;824;3285;5854;128063;420608;88;2822;887;1495;84906;2528;2510;63920;2011;3033;1342;379;2227;3046;1143;10022;12569;39825;46059;742;869;101;30589;1062;6188;5302;27031;7344;2775;8169;3264;683;66455;3624;3122;1398;5560;1014;2666;9931;17752;937;2406;334;942;1744;7962;33871;536;7567;2057620
2009;51864;121172;254;30947;6087;11874;330;93408;82764;753;54595;464153;9257;87225;7824;7842;944;5139;5903;136054;426325;131;2938;991;1062;90714;2492;2334;66071;1659;2971;1375;369;1439;3406;1114;7587;13657;40426;40018;441;748;136;28623;1203;5701;5263;25530;8956;3914;7510;3344;501;58629;3569;4676;1252;5373;661;2444;8971;18169;603;2057;366;820;1485;8648;36789;228;7883;2139961
2010;53201;127062;253;29659;6454;11520;551;86181;87674;686;52955;595944;9484;98642;10157;8765;681;4855;5760;152445;417232;141;2663;910;881;96666;2268;2451;66985;1632;2797;1477;615;1230;3526;1432;6346;12978;41831;30604;487;916;130;38097;1117;5675;5363;24795;10718;3914;6140;3506;506;54182;3052;3719;1237;5487;868;2689;9337;18217;647;2269;460;950;1389;8219;38469;229;8809;2299187
2011;56197;147403;286;30436;6791;12383;367;88042;117537;917;57454;741717;11896;112816;12059;9302;864;4172;6023;160841;411935;222;4948;898;883;105231;2628;2445;72900;1476;3451;1930;952;1334;3471;1533;5525;12809;45192;43794;523;1246;229;46005;1269;5827;5134;24486;10960;4631;6268;4027;557;55415;3211;3234;1511;7429;1348;2994;9895;18832;799;2489;364;1547;1726;10303;50185;605;13694;2597803
2012;62051;158950;307;35745;7498;13214;781;101546;126085;1064;61362;806929;12180;133975;13318;9319;884;3755;5884;176071;447218;225;5746;1139;797;111041;2701;2628;81851;1233;3486;1988;1027;1369;4165;1584;5655;13082;46845;56526;600;1155;225;51229;1393;5923;5616;24831;12908;4756;6076;4600;591;56386;3568;2800;1794;8469;1252;2943;10664;20310;1023;2991;499;1580;1766;11846;65930;822;9853;2845623
2013;62570;155145;355;36373;7813;13893;512;111983;143538;965;62820;886485;12864;134725;14000;9489;848;3562;5761;208358;487328;209;5404;1280;915;122567;2597;2865;81904;1288;3829;2349;1455;1877;4454;1891;5904;11809;47624;67639;844;1556;241;60270;1287;5913;5406;25299;15121;5104;7960;5249;664;56783;4336;2962;1975;8966;1523;2672;11014;21612;1316;3243;602;1971;1883;12509;158215;943;8953;3163639
